2   8   307.0      130.0      4098.      14.0   72  1	"chevrolet chevelle concours (sw)"
2   8   302.0      140.0      4294.      16.0   72  1	"ford gran torino (sw)"
2   8   318.0      150.0      4077.      14.0   72  1	"plymouth satellite custom (sw)"
3   4   121.0      112.0      2933.      14.5   72  2	"volvo 145e (sw)"
4   4   121.0      76.00      2511.      18.0   72  2	"volkswagen 411 (sw)"
4   4   120.0      87.00      2979.      19.5   72  2	"peugeot 504 (sw)"
5   4   96.00      69.00      2189.      18.0   72  2	"renault 12 (sw)"
4   4   122.0      86.00      2395.      16.0   72  1	"ford pinto (sw)"
5   4   97.00      92.00      2288.      17.0   72  3	"datsun 510 (sw)"
4   4   120.0      97.00      2506.      14.5   72  3	"toyouta corona mark ii (sw)"
5   4   98.00      80.00      2164.      15.0   72  1	"dodge colt (sw)"
5   4   97.00      88.00      2100.      16.5   72  3	"toyota corolla 1600 (sw)"
2   8   350.0      175.0      4100.      13.0   73  1	"buick century 350"
2   8   304.0      150.0      3672.      11.5   73  1	"amc matador"
2   8   350.0      145.0      3988.      13.0   73  1	"chevrolet malibu"
2   8   302.0      137.0      4042.      14.5   73  1	"ford gran torino"
2   8   318.0      150.0      3777.      12.5   73  1	"dodge coronet custom"
2   8   429.0      198.0      4952.      11.5   73  1	"mercury marquis brougham"
2   8   400.0      150.0      4464.      12.0   73  1	"chevrolet caprice classic"
2   8   351.0      158.0      4363.      13.0   73  1	"ford ltd"
2   8   318.0      150.0      4237.      14.5   73  1	"plymouth fury gran sedan"
2   8   440.0      215.0      4735.      11.0   73  1	"chrysler new yorker brougham"
2   8   455.0      225.0      4951.      11.0   73  1	"buick electra 225 custom"
2   8   360.0      175.0      3821.      11.0   73  1	"amc ambassador brougham"
3   3   70.00      90.00      2124.      13.5   73  3	"maxda rx3"
3   4   122.0      85.00      2310.      18.5   73  1	"ford pinto"
4   6   155.0      107.0      2472.      14.0   73  1	"mercury capri v6"
5   4   98.00      90.00      2265.      15.5   73  2	"fiat 124 sport coupe"
5   4   122.0      80.00      2451.      16.5   74  1	"ford pinto"
6   4   71.00      65.00      1836.      21.0   74  3	"toyota corolla 1200"
4   4   140.0      75.00      2542.      17.0   74  1	"chevrolet vega"
3   6   250.0      100.0      3781.      17.0   74  1	"chevrolet chevelle malibu classic"
3   6   258.0      110.0      3632.      18.0   74  1	"amc matador"
3   6   225.0      105.0      3613.      16.5   74  1	"plymouth satellite sebring"
3   8   302.0      140.0      4141.      14.0   74  1	"ford gran torino"
2   8   350.0      150.0      4699.      14.5   74  1	"buick century luxus (sw)"
2   8   318.0      150.0      4457.      13.5   74  1	"dodge coronet custom (sw)"
2   8   302.0      140.0      4638.      16.0   74  1	"ford gran torino (sw)"
2   8   304.0      150.0      4257.      15.5   74  1	"amc matador (sw)"
6   4   98.00      83.00      2219.      16.5   74  2	"audi fox"
5   4   79.00      67.00      1963.      15.5   74  2	"volkswagen dasher"
5   4   97.00      78.00      2300.      14.5   74  2	"opel manta"
6   4   76.00      52.00      1649.      16.5   74  3	"toyota corona"
6   4   83.00      61.00      2003.      19.0   74  3	"datsun 710"
5   4   90.00      75.00      2125.      14.5   74  1	"dodge colt"
4   4   90.00      75.00      2108.      15.5   74  2	"fiat 128"
5   4   116.0      75.00      2246.      14.0   74  2	"fiat 124 tc"
4   4   120.0      97.00      2489.      15.0   74  3	"honda civic"
5   4   108.0      93.00      2391.      15.5   74  3	"subaru"
6   4   79.00      67.00      2000.      16.0   74  2	"fiat x1.9"
3   6   225.0      95.00      3264.      16.0   75  1	"plymouth valiant custom"
3   6   250.0      105.0      3459.      16.0   75  1	"chevrolet nova"
2   6   250.0      72.00      3432.      21.0   75  1	"mercury monarch"
2   6   250.0      72.00      3158.      19.5   75  1	"ford maverick"
3   8   400.0      170.0      4668.      11.5   75  1	"pontiac catalina"
2   8   350.0      145.0      4440.      14.0   75  1	"chevrolet bel air"
3   8   318.0      150.0      4498.      14.5   75  1	"plymouth grand fury"
2   8   351.0      148.0      4657.      13.5   75  1	"ford ltd"
6   4   91.00      67.00      1965.      15.7   82  3	"honda civic (auto)"
7   4   91.00      67.00      1995.      16.2   82  3	"datsun 310 gx"
4   6   181.0      110.0      2945.      16.4   82  1	"buick century limited"
7   6   262.0      85.00      3015.      17.0   82  1	"oldsmobile cutlass ciera (diesel)"
5   4   156.0      92.00      2585.      14.5   82  1	"chrysler lebaron medallion"
4   6   232.0      112.0      2835       14.7   82  1	"ford granada l"
6   4   144.0      96.00      2665.      13.9   82  3	"toyota celica gt"
7   4   135.0      84.00      2370.      13.0   82  1	"dodge charger 2.2"
5   4   151.0      90.00      2950.      17.3   82  1	"chevrolet camaro"
5   4   140.0      86.00      2790.      15.6   82  1	"ford mustang gl"
8   4   97.00      52.00      2130.      24.6   82  2	"vw pickup"
6   4   135.0      84.00      2295.      11.6   82  1	"dodge rampage"
5   4   120.0      79.00      2625.      18.6   82  1	"ford ranger"
6   4   119.0      82.00      2720.      19.4   82  1	"chevy s-10"
3   6   231.0      110.0      3907.      21.0   75  1	"buick century"
3   6   250.0      105.0      3897.      18.5   75  1	"chevroelt chevelle malibu"
2   6   258.0      110.0      3730.      19.0   75  1	"amc matador"
3   6   225.0      95.00      3785.      19.0   75  1	"plymouth fury"
4   6   231.0      110.0      3039.      15.0   75  1	"buick skyhawk"
3   8   262.0      110.0      3221.      13.5   75  1	"chevrolet monza 2+2"
2   8   302.0      129.0      3169.      12.0   75  1	"ford mustang ii"
5   4   97.00      75.00      2171.      16.0   75  3	"toyota corolla"
4   4   140.0      83.00      2639.      17.0   75  1	"ford pinto"
3   6   232.0      100.0      2914.      16.0   75  1	"amc gremlin"
4   4   140.0      78.00      2592.      18.5   75  1	"pontiac astro"
4   4   134.0      96.00      2702.      13.5   75  3	"toyota corona"
4   4   90.00      71.00      2223.      16.5   75  2	"volkswagen dasher"
4   4   119.0      97.00      2545.      17.0   75  3	"datsun 710"
3   6   171.0      97.00      2984.      14.5   75  1	"ford pinto"
5   4   90.00      70.00      1937.      14.0   75  2	"volkswagen rabbit"
3   6   232.0      90.00      3211.      17.0   75  1	"amc pacer"
4   4   115.0      95.00      2694.      15.0   75  2	"audi 100ls"
4   4   120.0      88.00      2957.      17.0   75  2	"peugeot 504"
4   4   121.0      98.00      2945.      14.5   75  2	"volvo 244dl"
4   4   121.0      115.0      2671.      13.5   75  2	"saab 99le"
6   4   91.00      53.00      1795.      17.5   75  3	"honda civic cvcc"
5   4   107.0      86.00      2464.      15.5   76  2	"fiat 131"
4   4   116.0      81.00      2220.      16.9   76  2	"opel 1900"
4   4   140.0      92.00      2572.      14.9   76  1	"capri ii"
5   4   98.00      79.00      2255.      17.7   76  1	"dodge colt"
5   4   119.0      97.00      2300.      14.7   78  3	"datsun 510"
7   4   120.0      88.00      2160.      14.5   82  3	"nissan stanza xe"
3   8   400.0      190.0      4325.      12.2   77  1	"chrysler cordoba"
3   8   351.0      149.0      4335.      14.5   77  1	"ford thunderbird"
5   4   97.00      78.00      1940.      14.5   77  2	"volkswagen rabbit custom"
4   4   151.0      88.00      2740.      16.0   77  1	"pontiac sunbird coupe"
5   4   97.00      75.00      2265.      18.2   77  3	"toyota corolla liftback"
5   4   140.0      89.00      2755.      15.8   77  1	"ford mustang ii 2+2"
6   4   98.00      63.00      2051.      17.0   77  1	"chevrolet chevette"
6   4   98.00      83.00      2075.      15.9   77  1	"dodge colt m/m"
5   4   97.00      67.00      1985.      16.4   77  3	"subaru dl"
6   4   105.0      75.00      2230.      14.5   78  1	"dodge omni"
4   4   134.0      95.00      2515.      14.8   78  3	"toyota celica gt liftback"
4   4   156.0      105.0      2745.      16.7   78  1	"plymouth sapporo"
3   8   302.0      129.0      3725.      13.4   79  1	"ford ltd landau"
3   8   351.0      138.0      3955.      13.2   79  1	"mercury grand marquis"
3   8   318.0      135.0      3830.      15.2   79  1	"dodge st. regis"
3   8   350.0      155.0      4360.      14.9   79  1	"buick estate wagon (sw)"
3   8   351.0      142.0      4054.      14.3   79  1	"ford country squire (sw)"
3   8   267.0      125.0      3605.      15.0   79  1	"chevrolet malibu classic (sw)"
3   8   360.0      150.0      3940.      13.0   79  1	"chrysler lebaron town @ country (sw)"
5   4   101.0      83.00      2202.      15.3   76  2	"renault 12tl"
3   8   305.0      140.0      4215.      13.0   76  1	"chevrolet chevelle malibu classic"
3   8   318.0      150.0      4190.      13.0   76  1	"dodge coronet brougham"
3   8   304.0      120.0      3962.      13.9   76  1	"amc matador"
2   8   351.0      152.0      4215.      12.8   76  1	"ford gran torino"
4   6   225.0      100.0      3233.      15.4   76  1	"plymouth valiant"
4   6   250.0      105.0      3353.      14.5   76  1	"chevrolet nova"
4   6   200.0      81.00      3012.      17.6   76  1	"ford maverick"
4   6   232.0      90.00      3085.      17.6   76  1	"amc hornet"
5   4   85.00      52.00      2035.      22.2   76  1	"chevrolet chevette"
4   4   98.00      60.00      2164.      22.1   76  1	"chevrolet woody"
5   4   90.00      70.00      1937.      14.2   76  2	"vw rabbit"
6   4   91.00      53.00      1795.      17.4   76  3	"honda civic"
3   6   225.0      100.0      3651.      17.7   76  1	"dodge aspen se"
3   6   250.0      78.00      3574.      21.0   76  1	"ford granada ghia"
3   6   250.0      110.0      3645.      16.2   76  1	"pontiac ventura sj"
3   6   258.0      95.00      3193.      17.8   76  1	"amc pacer d/l"
5   4   97.00      71.00      1825.      12.2   76  2	"volkswagen rabbit"
6   4   85.00      70.00      1990.      17.0   76  3	"datsun b-210"
2   8   318.0      150.0      3755.      14.0   76  1	"dodge d100"
6   4   98.00      68.00      2045.      18.5   77  3	"honda accord cvcc"
5   4   111.0      80.00      2155.      14.8   77  1	"buick opel isuzu deluxe"
6   4   79.00      58.00      1825.      18.6   77  2	"renault 5 gtl"
2   8   350.0      145.0      4082.      13.0   73  1	"chevrolet monte carlo s"
3   8   400.0      230.0      4278.      9.50   73  1	"pontiac grand prix"
5   4   68.00      49.00      1867.      19.5   73  2	"fiat 128"
4   4   116.0      75.00      2158.      15.5   73  2	"opel manta"
3   8   302.0      140.0      3449.      10.5   70  1	"ford torino"
2   8   429.0      198.0      4341.      10.0   70  1	"ford galaxie 500"
2   8   454.0      220.0      4354.       9.0   70  1	"chevrolet impala"
2   8   440.0      215.0      4312.       8.5   70  1	"plymouth fury iii"
2   8   455.0      225.0      4425.      10.0   70  1	"pontiac catalina"
2   8   390.0      190.0      3850.       8.5   70  1	"amc ambassador dpl"
2   8   383.0      170.0      3563.      10.0   70  1	"dodge challenger se"
2   8   340.0      160.0      3609.       8.0   70  1	"plymouth 'cuda 340"
2   8   400.0      150.0      3761.       9.5   70  1	"chevrolet monte carlo"
2   8   318.0      210.0      4382.      13.5   70  1	"dodge d200"
3   4   114.0      91.00      2582.      14.0   73  2	"audi 100ls"
4   6   146.0      120.0      2930.      13.8   81  3	"datsun 810 maxima"
4   6   231.0      110.0      3415.      15.8   81  1	"buick century"
5   8   350.0      105.0      3725.      19.0   81  1	"oldsmobile cutlass ls"
4   6   200.0      88.00      3060.      17.1   81  1	"ford granada gl"
4   4   119.0      97.00      2405.      14.9   78  3	"datsun 200-sx"
4   5   131.0      103.0      2830.      15.9   78  2	"audi 5000"
3   6   163.0      125.0      3140.      13.6   78  2	"volvo 264gl"
4   4   121.0      115.0      2795.      15.7   78  2	"saab 99gle"
3   4   121.0      112.0      2868.      15.5   73  2	"volvo 144ea"
2   8   318.0      150.0      3399.      11.0   73  1	"dodge dart custom"
4   4   121.0      110.0      2660.      14.0   73  2	"saab 99le"
3   6   156.0      122.0      2807.      13.5   73  3	"toyota mark ii"
3   6   225.0      105.0      3439.      15.5   71  1	"plymouth satellite custom"
3   6   250.0      100.0      3329.      15.5   71  1	"chevrolet chevelle malibu"
3   6   250.0      88.00      3302.      15.5   71  1	"ford torino 500"
3   6   232.0      100.0      3288.      15.5   71  1	"amc matador"
2   8   350.0      165.0      4209.      12.0   71  1	"chevrolet impala"
2   8   400.0      175.0      4464.      11.5   71  1	"pontiac catalina brougham"
2   8   351.0      153.0      4154.      13.5   71  1	"ford galaxie 500"
2   8   318.0      150.0      4096.      13.0   71  1	"plymouth fury iii"
2   8   383.0      180.0      4955.      11.5   71  1	"dodge monaco (sw)"
2   8   400.0      170.0      4746.      12.0   71  1	"ford country squire (sw)"
6   4   71.00      65.00      1773.      19.0   71  3	"toyota corolla 1200"
6   4   72.00      69.00      1613.      18.0   71  3	"datsun 1200"
5   4   97.00      60.00      1834.      19.0   71  2	"volkswagen model 111"
5   4   91.00      70.00      1955.      20.5   71  1	"plymouth cricket"
4   4   113.0      95.00      2278.      15.5   72  3	"toyota corona hardtop"
4   4   97.50      80.00      2126.      17.0   72  1	"dodge colt hardtop"
4   4   97.00      54.00      2254.      23.5   72  2	"volkswagen type 3"
3   4   140.0      90.00      2408.      19.5   72  1	"chevrolet vega"
4   4   122.0      86.00      2226.      16.5   72  1	"ford pinto runabout"
2   8   350.0      180.0      3664.      11.0   73  1	"oldsmobile omega"
3   6   198.0      95.00      3102.      16.5   74  1	"plymouth duster"
3   6   232.0      100.0      2901.      16.0   74  1	"amc hornet"
2   6   250.0      100.0      3336.      17.0   74  1	"chevrolet nova"
6   4   79.00      67.00      1950.      19.0   74  3	"datsun b210"
5   4   122.0      96.00      2300.      15.5   77  1	"plymouth arrow gs"
6   4   85.00      70.00      1945.      16.8   77  3	"datsun f-10 hatchback"
3   8   305.0      145.0      3880.      12.5   77  1	"chevrolet caprice classic"
3   8   260.0      110.0      4060.      19.0   77  1	"oldsmobile cutlass supreme"
3   8   318.0      145.0      4140.      13.7   77  1	"dodge monaco brougham"
2   8   302.0      130.0      4295.      14.9   77  1	"mercury cougar brougham"
3   6   250.0      110.0      3520.      16.4   77  1	"chevrolet concours"
4   6   231.0      105.0      3425.      16.9   77  1	"buick skylark"
3   6   225.0      100.0      3630.      17.7   77  1	"plymouth volare custom"
3   6   250.0      98.00      3525.      19.0   77  1	"ford granada"
3   8   400.0      180.0      4220.      11.1   77  1	"pontiac grand prix lj"
3   8   350.0      170.0      4165.      11.4   77  1	"chevrolet monte carlo landau"
5   4   112.0      88.00      2605.      19.6   82  1	"chevrolet cavalier"
5   4   112.0      88.00      2640.      18.6   82  1	"chevrolet cavalier wagon"
6   4   112.0      88.00      2395.      18.0   82  1	"chevrolet cavalier 2-door"
6   4   112.0      85.00      2575.      16.2   82  1	"pontiac j2000 se hatchback"
5   4   135.0      84.00      2525.      16.0   82  1	"dodge aries se"
5   4   151.0      90.00      2735.      18.0   82  1	"pontiac phoenix"
4   4   140.0      92.00      2865.      16.4   82  1	"ford fairmont futura"
7   4   105.0      74.00      1980.      15.3   82  2	"volkswagen rabbit l"
7   4   91.00      68.00      2025.      18.2   82  3	"mazda glc custom l"
6   4   91.00      68.00      1970.      17.6   82  3	"mazda glc custom"
7   4   105.0      63.00      2125.      14.7   82  1	"plymouth horizon miser"
7   4   98.00      70.00      2125.      17.3   82  1	"mercury lynx l"
6   4   97.00      78.00      2190.      14.1   77  2	"volkswagen dasher"
4   6   146.0      97.00      2815.      14.5   77  3	"datsun 810"
4   4   121.0      110.0      2600.      12.8   77  2	"bmw 320i"
4   3   80.00      110.0      2720.      13.5   77  3	"mazda rx-4"
8   4   90.00      48.00      1985.      21.5   78  2	"volkswagen rabbit custom diesel"
7   4   98.00      66.00      1800.      14.4   78  1	"ford fiesta"
6   4   78.00      52.00      1985.      19.4   78  3	"mazda glc deluxe"
7   4   85.00      70.00      2070.      18.6   78  3	"datsun b210 gx"
7   4   91.00      60.00      1800.      16.4   78  3	"honda civic cvcc"
3   8   260.0      110.0      3365.      15.5   78  1	"oldsmobile cutlass salon brougham"
3   8   318.0      140.0      3735.      13.2   78  1	"dodge diplomat"
4   8   302.0      139.0      3570.      12.8   78  1	"mercury monarch ghia"
3   6   231.0      105.0      3535.      19.2   78  1	"pontiac phoenix lj"
4   6   200.0      95.00      3155.      18.2   78  1	"chevrolet malibu"
4   6   200.0      85.00      2965.      15.8   78  1	"ford fairmont (auto)"
5   4   140.0      88.00      2720.      15.4   78  1	"ford fairmont (man)"
4   6   225.0      100.0      3430.      17.2   78  1	"plymouth volare"
3   6   232.0      90.00      3210.      17.2   78  1	"amc concord"
4   6   231.0      105.0      3380.      15.8   78  1	"buick century special"
4   6   200.0      85.00      3070.      16.7   78  1	"mercury zephyr"
3   6   225.0      110.0      3620.      18.7   78  1	"dodge aspen"
3   6   258.0      120.0      3410.      15.1   78  1	"amc concord d/l"
3   8   305.0      145.0      3425.      13.2   78  1	"chevrolet monte carlo landau"
3   6   231.0      165.0      3445.      13.4   78  1	"buick regal sport coupe (turbo)"
3   8   302.0      139.0      3205.      11.2   78  1	"ford futura"
3   8   318.0      140.0      4080.      13.7   78  1	"dodge magnum xe"
5   4   98.00      68.00      2155.      16.5   78  1	"chevrolet chevette"
5   4   134.0      95.00      2560.      14.2   78  3	"toyota corona"
6   4   97.00      78.00      2188.      15.8   80  2	"audi 4000"
5   4   134.0      90.00      2711.      15.5   80  3	"toyota corona liftback"
6   4   120.0      75.00      2542.      17.5   80  3	"mazda 626"
7   4   119.0      92.00      2434.      15.0   80  3	"datsun 510 hatchback"
6   4   108.0      75.00      2265.      15.2   80  3	"toyota corolla"
9   4   86.00      65.00      2110.      17.9   80  3	"mazda glc"
5   4   156.0      105.0      2800.      14.4   80  1	"dodge colt"
8   4   85.00      65.00      2110.      19.2   80  3	"datsun 210"
8   4   90.00      48.00      2085.      21.7   80  2	"vw rabbit c (diesel)"
8   4   90.00      48.00      2335.      23.7   80  2	"vw dasher (diesel)"
7   5   121.0      67.00      2950.      19.9   80  2	"audi 5000s (diesel)"
5   4   146.0      67.00      3250.      21.8   80  2	"mercedes-benz 240d"
8   4   91.00      67.00      1850.      13.8   80  3	"honda civic 1500 gl"
6   4   97.00      67.00      2145.      18.0   80  3	"subaru dl"
6   4   89.00      71.00      1925.      14.0   79  2	"vw rabbit custom"
6   4   86.00      65.00      1975.      15.2   79  3	"maxda glc deluxe"
4   4   151.0      85.00      2855.      17.6   78  1	"oldsmobile starfire sx"
4   4   140.0      88.00      2890.      17.3   79  1	"ford fairmont 4"
4   6   232.0      90.00      3265.      18.2   79  1	"amc concord dl 6"
4   6   225.0      110.0      3360.      16.6   79  1	"dodge aspen 6"
3   8   305.0      130.0      3840.      15.4   79  1	"chevrolet caprice classic"
7   4   98.00      80.00      1915.      14.4   79  1	"dodge colt hatchback custom"
5   4   121.0      80.00      2670.      15.0   79  1	"amc spirit dl"
5   5   183.0      77.00      3530.      20.1   79  2	"mercedes benz 300d"
4   8   350.0      125.0      3900.      17.4   79  1	"cadillac eldorado"
5   4   141.0      71.00      3190.      24.8   79  2	"peugeot 504"
4   8   260.0      90.00      3420.      22.2   79  1	"oldsmobile cutlass salon brougham"
6   4   105.0      70.00      2200.      13.2   79  1	"plymouth horizon"
6   4   105.0      70.00      2150.      14.9   79  1	"plymouth horizon tc3"
5   4   85.00      65.00      2020.      19.2   79  3	"datsun 210"
7   4   91.00      69.00      2130.      14.7   79  2	"fiat strada custom"
5   4   151.0      90.00      2670.      16.0   79  1	"buick skylark limited"
5   6   173.0      115.0      2595.      11.3   79  1	"chevrolet citation"
5   6   173.0      115.0      2700.      12.9   79  1	"oldsmobile omega brougham"
5   4   97.00      75.00      2155.      16.4   76  3	"toyota corolla"
5   4   140.0      72.00      2565.      13.6   76  1	"ford pinto"
3   4   130.0      102.0      3150.      15.7   76  2	"volvo 245"
2   8   318.0      150.0      3940.      13.2   76  1	"plymouth volare premier v8"
3   4   120.0      88.00      3270.      21.9   76  2	"peugeot 504"
3   6   156.0      108.0      2930.      15.5   76  3	"toyota mark ii"
3   6   168.0      120.0      3820.      16.7   76  2	"mercedes-benz 280s"
3   8   350.0      180.0      4380.      12.1   76  1	"cadillac seville"
2   8   350.0      145.0      4055.      12.0   76  1	"chevy c10"
2   8   302.0      130.0      3870.      15.0   76  1	"ford f108"
6   4   151.0      90.00      2556.      13.2   79  1	"pontiac phoenix"
4   6   173.0      110.0      2725.      12.6   81  1	"chevrolet citation"
5   4   135.0      84.00      2385.      12.9   81  1	"plymouth reliant"
7   4   79.00      58.00      1755.      16.9   81  3	"toyota starlet"
7   4   86.00      64.00      1875.      16.4   81  1	"plymouth champ"
7   4   81.00      60.00      1760.      16.1   81  3	"honda civic 1300"
6   4   97.00      67.00      2065.      17.8   81  3	"subaru"
7   4   85.00      65.00      1975.      19.4   81  3	"datsun 210 mpg"
7   4   89.00      62.00      2050.      17.3   81  3	"toyota tercel"
6   4   91.00      68.00      1985.      16.0   81  3	"mazda glc 4"
6   4   105.0      63.00      2215.      14.9   81  1	"plymouth horizon 4"
6   4   98.00      65.00      2045.      16.2   81  1	"ford escort 4w"
5   4   98.00      65.00      2380.      20.7   81  1	"ford escort 2h"
6   4   105.0      74.00      2190.      14.2   81  2	"volkswagen jetta"
6   4   107.0      75.00      2210.      14.4   81  3	"honda prelude"
6   4   108.0      75.00      2350.      16.8   81  3	"toyota corolla"
6   4   119.0      100.0      2615.      14.8   81  3	"datsun 200sx"
2   8   455.0      225.0      3086.      10.0   70  1	"buick estate wagon (sw)"
4   4   113.0      95.00      2372.      15.0   70  3	"toyota corona mark ii"
6   4   120.0      74.00      2635.      18.3   81  3	"mazda 626"
5   4   141.0      80.00      3230.      20.4   81  2	"peugeot 505s turbo diesel"
6   6   145.0      76.00      3160.      19.6   81  2	"volvo diesel"
5   6   168.0      116.0      2900.      12.6   81  3	"toyota cressida"
3   6   163.0      133.0      3410.      15.8   78  2	"peugeot 604sl"
6   4   89.00      71.00      1990.      14.9   78  2	"volkswagen scirocco"
5   4   98.00      68.00      2135.      16.6   78  3	"honda accord lx"
4   6   231.0      115.0      3245.      15.4   79  1	"pontiac lemans v6"
3   6   200.0      85.00      2990.      18.2   79  1	"mercury zephyr 6"
3   6   225.0      85.00      3465.      16.6   81  1	"chrysler lebaron salon"
7   4   107.0      75.00      2205.      14.5   82  3	"honda accord"
6   4   108.0      70.00      2245       16.9   82  3	"toyota corolla"
7   4   91.00      67.00      1965.      15.0   82  3	"honda civic"
3   6   225.0      105.0      3121.      16.5   73  1	"plymouth valiant"
3   6   250.0      100.0      3278.      18.0   73  1	"chevrolet nova custom"
3   6   232.0      100.0      2945.      16.0   73  1	"amc hornet"
3   6   250.0      88.00      3021.      16.5   73  1	"ford maverick"
4   6   198.0      95.00      2904.      16.0   73  1	"plymouth duster"
5   4   97.00      46.00      1950.      21.0   73  2	"volkswagen super beetle"
2   8   400.0      150.0      4997.      14.0   73  1	"chevrolet impala"
2   8   400.0      167.0      4906.      12.5   73  1	"ford country"
2   8   360.0      170.0      4654.      13.0   73  1	"plymouth custom suburb"
2   8   350.0      180.0      4499.      12.5   73  1	"oldsmobile vista cruiser"
3   6   232.0      100.0      2789.      15.0   73  1	"amc gremlin"
3   4   97.00      88.00      2279.      19.0   73  3	"toyota carina"
4   4   140.0      72.00      2401.      19.5   73  1	"chevrolet vega"
4   4   108.0      94.00      2379.      16.5   73  3	"datsun 610"
